US State,Colour
AL,crimson
AK,crimson
AZ,royalblue
AR,crimson
CA,royalblue
CO,royalblue
CT,royalblue
DE,royalblue
DC,royalblue
FL,crimson
GA,royalblue
HI,royalblue
ID,crimson
IL,royalblue
IN,crimson
IA,crimson
KS,crimson
KY,crimson
LA,crimson
ME,royalblue
MD,royalblue
MA,royalblue
MI,royalblue
MN,royalblue
MS,crimson
MO,crimson
MT,crimson
NE,crimson
NV,royalblue
NH,royalblue
NJ,royalblue
NM,royalblue
NY,royalblue
NC,crimson
ND,crimson
OH,crimson
OK,crimson
OR,royalblue
PA,royalblue
RI,royalblue
SC,crimson
SD,crimson
VT,royalblue
VA,royalblue
TN,crimson
TX,crimson
UT,crimson
VT,royalblue
VA,royalblue
WA,royalblue
WV,crimson
WI,royalblue
WY,crimson
